TEAM,TEAM_ID,PORTFOLIO,PORTFOLIO_ID,PLANT,PLANT_ID,PERIOD,PRICE1,PRICE2,PRICE3,PRICE4
Arrow,1,Low_Fossil,7,HUMBOLDT,71,5,65.04,65.04,65.04,65.04
Arrow,1,Low_Fossil,7,HELMS,72,5,0.50,0.50,0.50,0.50
Arrow,1,Low_Fossil,7,HUNTERS_POINT_1-2,73,5,67.09,67.09,67.09,67.09
Arrow,1,Low_Fossil,7,HUNTERS_POINT_4,74,5,104.05,104.05,104.05,104.05
Arrow,1,Low_Fossil,7,DIABLO_CANYON_1,75,5,11.50,11.50,11.50,11.50
Becker,2,Big_Gas,2,EL_SEGUNDO_1-2,21,5,56.99,57.09,60.66,57.09
Becker,2,Big_Gas,2,EL_SEGUNDO_3-4,22,5,54.45,57.09,60.66,56.09
Becker,2,Big_Gas,2,LONG_BEACH,23,5,68.99,68.99,68.99,68.99
Becker,2,Big_Gas,2,NORTH_ISLAND,24,5,84.99,84.99,84.99,84.99
Becker,2,Big_Gas,2,ENCINA,25,5,54.45,57.09,60.66,56.09
Becker,2,Big_Gas,2,KEARNY,26,5,500.00,500.00,500.00,500.00
Becker,2,Big_Gas,2,SOUTH_BAY,27,5,56.99,57.09,60.66,56.09
Coase,3,East_Bay,5,PITTSBURGH_1-4,51,5,52.48,52.48,52.48,52.48
Coase,3,East_Bay,5,PITTSBURGH_5-6,52,5,46.95,46.95,46.95,46.95
Coase,3,East_Bay,5,PITTSBURG_7,53,5,76.55,76.55,76.55,76.55
Coase,3,East_Bay,5,CONTRA_COSTA_4-5,54,5,74.63,74.63,74.63,74.63
Coase,3,East_Bay,5,CONTRA_COSTA_6-7,55,5,50.56,50.56,50.56,50.56
Coase,3,East_Bay,5,POTRERO_HILL,56,5,89.54,89.54,89.54,89.54
Debreu,4,Big_Coal,1,Four Corners,11,5,67.30,67.30,67.30,67.30
Debreu,4,Big_Coal,1,ALAMITOS_7,12,5,97.52,97.52,97.52,97.52
Debreu,4,Big_Coal,1,HUNTINGTON_BEACH_1-2,13,5,53.38,53.38,53.38,53.38
Debreu,4,Big_Coal,1,HUNTINGTON_BEACH_5,14,5,53.38,53.38,53.38,53.38
Debreu,4,Big_Coal,1,REDONDO_5-6,15,5,55.38,55.38,55.38,60.98
Debreu,4,Big_Coal,1,REDONDO_7-8,16,5,55.38,55.38,55.38,55.38
Friedman,5,Beachfront,4,COOLWATER,41,5,65.49,65.49,59.54,65.49
Friedman,5,Beachfront,4,ETIWANDA_1-4,42,5,65.80,65.80,59.82,65.80
Friedman,5,Beachfront,4,ETIWANDA_5,43,5,88.09,88.09,88.09,88.09
Friedman,5,Beachfront,4,ELLWOOD,44,5,106.76,106.76,106.76,106.76
Friedman,5,Beachfront,4,MANDALAY_1-2,45,5,54.46,54.46,54.46,54.46
Friedman,5,Beachfront,4,MANDALAY_3,46,5,73.06,73.06,73.06,73.06
Friedman,5,Beachfront,4,ORMOND_BEACH_1,47,5,53.46,53.46,53.46,53.46
Friedman,5,Beachfront,4,ORMOND_BEACH_2,48,5,53.46,53.46,53.46,53.46
Heckman,6,Old_Timers,6,BIG_CREEK,61,5,55.00,55.00,55.00,55.00
Heckman,6,Old_Timers,6,MOHAVE_1,62,5,90.90,90.90,90.90,90.90
Heckman,6,Old_Timers,6,MOHAVE_2,63,5,90.90,90.90,90.90,90.90
Heckman,6,Old_Timers,6,HIGHGROVE,64,5,84.41,84.41,84.41,84.41
Heckman,6,Old_Timers,6,SAN_BERNARDINO,65,5,150.00,150.00,150.00,150.00
Krugman,7,Bay_Views,3,MORRO_BAY_1-2,31,5,53.00,53.00,53.00,53.00
Krugman,7,Bay_Views,3,MORRO_BAY_3-4,32,5,50.00,50.00,50.00,50.00
Krugman,7,Bay_Views,3,MOSS_LANDING_6,33,5,44.00,44.00,44.00,44.00
Krugman,7,Bay_Views,3,MOSS_LANDING_7,34,5,44.00,44.00,44.00,44.00
Krugman,7,Bay_Views,3,OAKLAND,35,5,83.00,83.00,83.00,83.00
Arrow,1,Low_Fossil,7,HUMBOLDT,71,4,47.44,47.44,47.44,47.44
Arrow,1,Low_Fossil,7,HELMS,72,4,0.50,0.50,0.50,0.50
Arrow,1,Low_Fossil,7,HUNTERS_POINT_1-2,73,4,49.17,49.17,49.17,49.17
Arrow,1,Low_Fossil,7,HUNTERS_POINT_4,74,4,75.89,75.89,75.89,75.89
