Group,UNIT NAME,Primary Fuel Type,Operational Status,Notes,Group_num,Capacity_MW,Fuel_Cost_USDperMWH,Var_OandM_USDperMWH,Var_Cost_USDperMWH,Carbon_tonsperMWH,FixedCst_OandM_perDay,Plant_ID
Big Coal,FOUR CORNERS,Coal,Active,"Located in New Mexico, primarily serves Arizona and New Mexico.",1,1900,35,1.5,36.5,1.1,8000,11
Big Coal,ALAMITOS 7,Natural Gas,Retired,"Part of the Alamitos Generating Station in Long Beach, California. Units 1–6 were retired and replaced by newer units; Unit 7's status is less clear but likely retired.",1,250,72.22,1.5,73.72,0.85,0,12
Big Coal,HUNTINGTON BEACH 1&2,Natural Gas,Retired,"Units 1 and 2 were retired and replaced by newer, more efficient units.",1,300,39,1.5,40.5,0.46,2000,13
Big Coal,HUNTINGTON BEACH 5,Natural Gas,Active,Part of the newer units at the Huntington Beach Energy Project.,1,150,65,1.5,66.5,0.77,2000,14
Big Coal,REDONDO 5&6,Natural Gas,Retired,Units 5 and 6 at Redondo Beach Generating Station have been retired.,1,350,40.44,1.5,41.94,0.48,3000,15
Big Coal,REDONDO 7&8,Natural Gas,Retired,Units 7 and 8 have also been retired.,1,950,40.44,1.5,41.94,0.48,5000,16
Big Gas,EL SEGUNDO 1&2,Natural Gas,Retired,Units 1 and 2 were retired and replaced by newer units.,2,400,43.33,1.5,44.83,0.51,1000,21
Big Gas,EL SEGUNDO 3&4,Natural Gas,Retired,Units 3 and 4 have been retired.,2,650,39.72,1.5,41.22,0.47,1000,22
Big Gas,LONG BEACH,Natural Gas,Active,The Long Beach Generating Station is operational.,2,550,52,0.5,52.5,0.61,2000,23
Big Gas,NORTH ISLAND,Unknown,Unknown,Specific information about this plant is limited.,2,150,65,0.5,65.5,0.77,0,24
Big Gas,ENCINA,Natural Gas,Retired,The Encina Power Station in Carlsbad was retired in 2018.,2,950,41.17,0.5,41.67,0.49,2000,25
Big Gas,KEARNY,Natural Gas,Active,The Kearny Generating Station in San Diego is operational.,2,200,89.56,0.5,90.06,1.06,0,26
Big Gas,SOUTH BAY,Natural Gas,Retired,The South Bay Power Plant in Chula Vista was demolished in 2013.,2,700,43.33,0.5,43.83,0.51,2000,27
Bay Views,MORRO BAY 1&2,Natural Gas,Retired,Units 1 and 2 at Morro Bay Power Plant were retired.,3,335,38.28,0.5,38.78,0.45,2000,31
Bay Views,MORRO BAY 3&4,Natural Gas,Retired,Units 3 and 4 have also been retired.,3,665,36.11,0.5,36.61,0.43,4000,32
Bay Views,MOSS LANDING 6,Natural Gas,Retired,Unit 6 at Moss Landing Power Plant has been retired.,3,750,31.06,1.5,32.56,0.37,8000,33
Bay Views,MOSS LANDING 7,Natural Gas,Retired,Unit 7 has also been retired.,3,750,31.06,1.5,32.56,0.37,8000,34
Bay Views,OAKLAND,Natural Gas,Active,The Oakland Power Plant is operational.,3,150,60.67,0.5,61.17,0.72,0,35
