TEAM,TEAM_ID,PORTFOLIO,PORTFOLIO_ID,PLANT,PLANT_ID,PERIOD,PRICE1,PRICE2,PRICE3,PRICE4
Arrow,1,Big_Gas,2,EL_SEGUNDO_1-2,21,1,44.83,47.43,48,47.43
Arrow,1,Big_Gas,2,EL_SEGUNDO_3-4,22,1,41.22,42.38,46,42.66
Arrow,1,Big_Gas,2,LONG_BEACH,23,1,52.5,52.5,52.5,52.5
Arrow,1,Big_Gas,2,NORTH_ISLAND,24,1,65.5,65.5,65.5,65.5
Arrow,1,Big_Gas,2,ENCINA,25,1,41.67,42.38,46,42.66
Arrow,1,Big_Gas,2,KEARNY,26,1,90.06,90.06,90.06,90.06
Arrow,1,Big_Gas,2,SOUTH_BAY,27,1,43.83,47.43,48,47.43
Becker,2,Big_Coal,1,Four Corners,11,1,38.77,52.48,58.26,47.41
Becker,2,Big_Coal,1,ALAMITOS_7,12,1,73.72,75.6,75.6,75.6
Becker,2,Big_Coal,1,HUNTINGTON_BEACH_1-2,13,1,41.2,52.49,58.27,47.42
Becker,2,Big_Coal,1,HUNTINGTON_BEACH_5,14,1,69.82,69.82,69.82,69.82
Becker,2,Big_Coal,1,REDONDO_5-6,15,1,42.38,53.92,59.71,52.48
Becker,2,Big_Coal,1,REDONDO_7-8,16,1,42.38,53.92,59.71,52.48
Coase,3,Bay_Views,3,MORRO_BAY_1-2,31,1,39,40,41,40
Coase,3,Bay_Views,3,MORRO_BAY_3-4,32,1,38,38,38,38
Coase,3,Bay_Views,3,MOSS_LANDING_6,33,1,34,36.5,36.5,36.5
Coase,3,Bay_Views,3,MOSS_LANDING_7,34,1,34,34,37,36.5
Coase,3,Bay_Views,3,OAKLAND,35,1,65,65,64,65
Debreu,4,East_Bay,5,PITTSBURGH_1-4,51,1,55,40.44,65,45
Debreu,4,East_Bay,5,PITTSBURGH_5-6,52,1,46,36.11,56,45
Debreu,4,East_Bay,5,PITTSBURG_7,53,1,70,59.22,80,65
Debreu,4,East_Bay,5,CONTRA_COSTA_4-5,54,1,47,57.78,57,65
Debreu,4,East_Bay,5,CONTRA_COSTA_6-7,55,1,70,36,80,40
Debreu,4,East_Bay,5,POTRERO_HILL,56,1,80,69.33,90,75
Friedman,5,Low_Fossil,7,HUMBOLDT,71,1,47.44,47.44,47.44,47.44
Friedman,5,Low_Fossil,7,HELMS,72,1,38,41,43,41
Friedman,5,Low_Fossil,7,HUNTERS_POINT_1-2,73,1,49.17,49.17,49.17,49.17
Friedman,5,Low_Fossil,7,HUNTERS_POINT_4,74,1,75.89,75.89,75.89,75.89
Friedman,5,Low_Fossil,7,DIABLO_CANYON_1,75,1,38,41,43,41
Heckman,6,Beachfront,4,COOLWATER,41,1,44.06,47.67,47.83,46.39
Heckman,6,Beachfront,4,ETIWANDA_1-4,42,1,44.67,47.67,47.83,46.39
Heckman,6,Beachfront,4,ETIWANDA_5,43,1,65,65,65,65
Heckman,6,Beachfront,4,ELLWOOD,44,1,80,80,80,80
Heckman,6,Beachfront,4,MANDALAY_1-2,45,1,44.06,44.67,46.83,45.39
Heckman,6,Beachfront,4,MANDALAY_3,46,1,55,55,55,55
Heckman,6,Beachfront,4,ORMOND_BEACH_1,47,1,41.06,43.67,45.83,44.39
Heckman,6,Beachfront,4,ORMOND_BEACH_2,48,1,41.06,43.67,45.83,44.39
Krugman,7,Old_Timers,6,BIG_CREEK,61,1,39.06,42.67,44.83,42.39
Krugman,7,Old_Timers,6,MOHAVE_1,62,1,39.06,42.67,44.83,42.39
Krugman,7,Old_Timers,6,MOHAVE_2,63,1,39.06,42.67,44.83,42.39
Krugman,7,Old_Timers,6,HIGHGROVE,64,1,49.61,49.61,49.61,49.61
Krugman,7,Old_Timers,6,SAN_BERNARDINO,65,1,53.94,53.94,53.94,53.94
Arrow,1,Big_Gas,2,EL_SEGUNDO_1-2,21,2,41.93,47.33,47.33,44.83
Arrow,1,Big_Gas,2,EL_SEGUNDO_3-4,22,2,44.83,41.22,41.22,41.22
Arrow,1,Big_Gas,2,LONG_BEACH,23,2,52.5,52.5,52.5,52.5
Arrow,1,Big_Gas,2,NORTH_ISLAND,24,2,65.5,65.5,65.5,65.5
Arrow,1,Big_Gas,2,ENCINA,25,2,50,41.67,41.67,41.67
Arrow,1,Big_Gas,2,KEARNY,26,2,90.06,90.06,90.06,90.06
Arrow,1,Big_Gas,2,SOUTH_BAY,27,2,43.83,47.32,47.32,43.83
Becker,2,Big_Coal,1,Four Corners,11,2,36.6,49.15,75.56,36.6
Becker,2,Big_Coal,1,ALAMITOS_7,12,2,75.6,75.6,75.6,75.6
Becker,2,Big_Coal,1,HUNTINGTON_BEACH_1-2,13,2,40.93,49.16,75.57,40.93
Becker,2,Big_Coal,1,HUNTINGTON_BEACH_5,14,2,69.82,69.82,75.59,69.82
Becker,2,Big_Coal,1,REDONDO_5-6,15,2,42.38,49.17,75.58,42.65
Becker,2,Big_Coal,1,REDONDO_7-8,16,2,42.38,49.17,75.58,42.65
Coase,3,Bay_Views,3,MORRO_BAY_1-2,31,2,39,40,41,39
Coase,3,Bay_Views,3,MORRO_BAY_3-4,32,2,37,38,39,37
Coase,3,Bay_Views,3,MOSS_LANDING_6,33,2,37,38,39,37
Coase,3,Bay_Views,3,MOSS_LANDING_7,34,2,38,39,40,38
Coase,3,Bay_Views,3,OAKLAND,35,2,64,65,65,64
Debreu,4,East_Bay,5,PITTSBURGH_1-4,51,2,41.21,41.21,41.21,41.21
Debreu,4,East_Bay,5,PITTSBURGH_5-6,52,2,36.61,36.61,36.61,36.61
Debreu,4,East_Bay,5,PITTSBURG_7,53,2,59.72,59.72,59.72,59.72
Debreu,4,East_Bay,5,CONTRA_COSTA_4-5,54,2,58.28,58.28,58.28,58.28
